WATERBODY_CODE,LATITUDE,LONGITUDE,SPECIES_NAME,name,SAMPLE_DATE,Netting_Start_Date,Netting_End_Date,Len2mm,Total_Length,WEIGHT,Round_Weight,SexID,Sex_ID,VALUE,Aging_Structure,Assessed_Fish_Age,Assessed_Age_Confidence,Waterbody_LID,ON_Hg_BSM_years_ID,qryContaminant_link_fish_age_date_tissue_ID,Tissues_Sampled,Contaminant_Samples_Taken,FN3_individual_fish_id
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-24,2008-06-25,223,223,100,100,1,1,0.12,Scales (left side),1,9,17-4857-47670,132,28360,1,Yes,113529
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-24,2008-06-25,394,394,400,400,2,2,0.19,Scales (left side),2,9,17-4857-47670,133,28359,1,Yes,113528
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-24,2008-06-25,416,416,550,550,2,2,0.17,Scales (left side),2,9,17-4857-47670,135,28355,1,Yes,113437
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-24,2008-06-25,402,402,450,450,2,2,0.2,Scales (left side),2,9,17-4857-47670,136,28356,1,Yes,113436
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-24,2008-06-25,497,497,1050,1050,2,2,0.27,Otolith,3,9,17-4857-47670,137,28357,1,Yes,113435
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-24,2008-06-25,402,402,450,450,2,2,0.19,Scales (left side),2,9,17-4857-47670,138,28356,1,Yes,113436
43048111,430355,811112,Smallmouth Bass,Smallmouth Bass,2008-06-24,2008-06-24,2008-06-25,290,290,300,300,1,1,0.27,Dorsal Spine,4,8,17-4857-47670,145,28358,1,Yes,113438
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-23,2008-06-24,397,397,375,375,2,2,0.25,Scales (left side),2,9,17-4857-47670,131,28362,1,Yes,113574
43048111,430355,811112,Smallmouth Bass,Smallmouth Bass,2008-06-24,2008-06-23,2008-06-24,521,521,1650,1650,2,2,0.91,Dorsal Spine,16,7,17-4857-47670,144,28373,1,Yes,113732
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-23,2008-06-24,207,207,40,40,2,2,0.12,Scales (left side),1,8,17-4857-47670,146,28374,1,Yes,113753
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-23,2008-06-24,256,256,100,100,1,1,0.13,Scales (left side),1,8,17-4857-47670,147,28377,1,Yes,113866
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-23,2008-06-24,500,500,975,975,2,2,0.27,Scales (left side),3,7,17-4857-47670,148,28376,1,Yes,113865
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-23,2008-06-24,249,249,100,100,1,1,0.12,Scales (left side),1,8,17-4857-47670,149,28375,1,Yes,113754
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-23,2008-06-24,276,276,125,125,2,2,0.12,Scales (left side),1,8,17-4857-47670,152,28367,1,Yes,113706
43048111,430355,811112,Walleye,Walleye,2008-06-24,2008-06-23,2008-06-24,257,257,100,100,2,2,0.12,Scales (left side),1,9,17-4857-47670,153,28372,1,Yes,113269
