"","X","WATERBODY_CODE","LATITUDE","LONGITUDE","SPECIES_NAME","name","SAMPLE_DATE","YEAR","Netting_Start_Date","Netting_End_Date","Len2mm","Total_Length","WEIGHT","Round_Weight","SexID","Sex_ID","VALUE","Aging_Structure","Assessed_Fish_Age","Assessed_Age_Confidence","Waterbody_LID","ON_Hg_BSM_years_ID","qryContaminant_link_fish_age_date_tissue_ID","Tissues_Sampled","Contaminant_Samples_Taken","FN3_individual_fish_id","LAT","LON","LatZones","fYEAR"
"36",36,44257633,442551,763324,"Northern Pike","Northern Pike","2010-07-26",2010,"2010-07-26","2010-07-27",690,690,2300,2300,2,2,0.94,"Cleithrum",8,5,"18-3760-49200",820,30796,"1","Yes",311071,44.43083333,76.55666667,"South","2010"
"37",37,44257633,442551,763324,"Northern Pike","Northern Pike","2010-07-26",2010,"2010-07-26","2010-07-27",745,745,2200,2200,2,2,1.1,"Cleithrum",8,6,"18-3760-49200",821,30797,"1","Yes",311382,44.43083333,76.55666667,"South","2010"
"38",38,44257633,442551,763324,"Northern Pike","Northern Pike","2010-07-26",2010,"2010-07-26","2010-07-27",670,670,1900,1900,2,2,0.87,"Cleithrum",8,6,"18-3760-49200",825,30798,"1","Yes",311383,44.43083333,76.55666667,"South","2010"
"39",39,44257633,442551,763324,"Northern Pike","Northern Pike","2010-07-26",2010,"2010-07-26","2010-07-27",561,561,1050,1050,1,1,0.45,"Cleithrum",5,7,"18-3760-49200",827,30799,"1","Yes",311418,44.43083333,76.55666667,"South","2010"
"40",40,44257633,442551,763324,"Northern Pike","Northern Pike","2010-07-26",2010,"2010-07-26","2010-07-27",426,426,465,465,2,2,0.28,"Scales (left side)",3,5,"18-3760-49200",834,30800,"1","Yes",311419,44.43083333,76.55666667,"South","2010"
"44",44,44267613,442603,761317,"Northern Pike","Northern Pike","2010-08-25",2010,"2010-08-25","2010-08-26",726,726,2000,2000,2,2,0.34,"Cleithrum",4,6,"18-4028-49206",935,30775,"1","Yes",329921,44.43416667,76.22138889,"South","2010"
"45",45,44267613,442603,761317,"Northern Pike","Northern Pike","2010-08-25",2010,"2010-08-25","2010-08-26",615,615,1490,1490,1,1,0.19,"Cleithrum",3,7,"18-4028-49206",936,30779,"1","Yes",329836,44.43416667,76.22138889,"South","2010"
"46",46,44267613,442603,761317,"Northern Pike","Northern Pike","2010-08-25",2010,"2010-08-25","2010-08-26",570,570,1250,1250,2,2,0.14,"Cleithrum",2,7,"18-4028-49206",937,30773,"1","Yes",329920,44.43416667,76.22138889,"South","2010"
"47",47,44267613,442603,761317,"Northern Pike","Northern Pike","2010-08-25",2010,"2010-08-25","2010-08-26",570,570,1050,1050,1,1,0.15,"Cleithrum",2,7,"18-4028-49206",938,30776,"1","Yes",329918,44.43416667,76.22138889,"South","2010"
"48",48,44267613,442603,761317,"Northern Pike","Northern Pike","2010-08-25",2010,"2010-08-25","2010-08-26",517,517,900,900,2,2,0.13,"Scales (left side)",2,8,"18-4028-49206",940,30774,"1","Yes",329919,44.43416667,76.22138889,"South","2010"
"49",49,44267613,442603,761317,"Northern Pike","Northern Pike","2010-08-25",2010,"2010-08-25","2010-08-26",478,478,810,810,2,2,0.1,"Scales (left side)",1,8,"18-4028-49206",942,30777,"1","Yes",329833,44.43416667,76.22138889,"South","2010"
"101",101,44307727,442914,772713,"Northern Pike","Northern Pike","2010-06-23",2010,"2010-06-23","2010-06-24",521,521,790,790,1,1,0.27,"Scales (left side)",2,6,"18-3050-49285",1121,30646,"1","Yes",300747,44.48722222,77.45361111,"South","2010"
"168",168,44347616,443406,761541,"Northern Pike","Northern Pike","2010-08-16",2010,"2010-08-16","2010-08-17",567,567,800,800,2,2,0.28,"Scales (left side)",3,7,"18-3998-49356",1315,30661,"1","Yes",324756,44.56833333,76.26138889,"South","2010"
