"","X","WATERBODY_CODE","LATITUDE","LONGITUDE","SPECIES_NAME","name","SAMPLE_DATE","YEAR","Netting_Start_Date","Netting_End_Date","Len2mm","Total_Length","WEIGHT","Round_Weight","SexID","Sex_ID","VALUE","Aging_Structure","Assessed_Fish_Age","Assessed_Age_Confidence","Waterbody_LID","ON_Hg_BSM_years_ID","qryContaminant_link_fish_age_date_tissue_ID","Tissues_Sampled","Contaminant_Samples_Taken","FN3_individual_fish_id","LAT","LON","LatZones","fYEAR"
"1",1,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-24","2008-06-25",223,223,100,100,1,1,0.12,"Scales (left side)",1,9,"17-4857-47670",132,28360,"1","Yes",113529,43.06527778,81.18666667,"South","2008"
"2",2,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-24","2008-06-25",394,394,400,400,2,2,0.19,"Scales (left side)",2,9,"17-4857-47670",133,28359,"1","Yes",113528,43.06527778,81.18666667,"South","2008"
"3",3,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-24","2008-06-25",416,416,550,550,2,2,0.17,"Scales (left side)",2,9,"17-4857-47670",135,28355,"1","Yes",113437,43.06527778,81.18666667,"South","2008"
"4",4,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-24","2008-06-25",402,402,450,450,2,2,0.2,"Scales (left side)",2,9,"17-4857-47670",136,28356,"1","Yes",113436,43.06527778,81.18666667,"South","2008"
"5",5,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-24","2008-06-25",497,497,1050,1050,2,2,0.27,"Otolith",3,9,"17-4857-47670",137,28357,"1","Yes",113435,43.06527778,81.18666667,"South","2008"
"6",6,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-24","2008-06-25",402,402,450,450,2,2,0.19,"Scales (left side)",2,9,"17-4857-47670",138,28356,"1","Yes",113436,43.06527778,81.18666667,"South","2008"
"7",7,43048111,430355,811112,"Smallmouth Bass","Smallmouth Bass","2008-06-24",2008,"2008-06-24","2008-06-25",290,290,300,300,1,1,0.27,"Dorsal Spine",4,8,"17-4857-47670",145,28358,"1","Yes",113438,43.06527778,81.18666667,"South","2008"
"8",8,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",397,397,375,375,2,2,0.25,"Scales (left side)",2,9,"17-4857-47670",131,28362,"1","Yes",113574,43.06527778,81.18666667,"South","2008"
"9",9,43048111,430355,811112,"Smallmouth Bass","Smallmouth Bass","2008-06-24",2008,"2008-06-23","2008-06-24",521,521,1650,1650,2,2,0.91,"Dorsal Spine",16,7,"17-4857-47670",144,28373,"1","Yes",113732,43.06527778,81.18666667,"South","2008"
"10",10,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",207,207,40,40,2,2,0.12,"Scales (left side)",1,8,"17-4857-47670",146,28374,"1","Yes",113753,43.06527778,81.18666667,"South","2008"
"11",11,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",256,256,100,100,1,1,0.13,"Scales (left side)",1,8,"17-4857-47670",147,28377,"1","Yes",113866,43.06527778,81.18666667,"South","2008"
"12",12,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",500,500,975,975,2,2,0.27,"Scales (left side)",3,7,"17-4857-47670",148,28376,"1","Yes",113865,43.06527778,81.18666667,"South","2008"
"13",13,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",249,249,100,100,1,1,0.12,"Scales (left side)",1,8,"17-4857-47670",149,28375,"1","Yes",113754,43.06527778,81.18666667,"South","2008"
"14",14,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",276,276,125,125,2,2,0.12,"Scales (left side)",1,8,"17-4857-47670",152,28367,"1","Yes",113706,43.06527778,81.18666667,"South","2008"
"15",15,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",257,257,100,100,2,2,0.12,"Scales (left side)",1,9,"17-4857-47670",153,28372,"1","Yes",113269,43.06527778,81.18666667,"South","2008"
"16",16,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",228,228,100,100,2,2,0.11,"Scales (left side)",1,9,"17-4857-47670",154,28371,"1","Yes",113705,43.06527778,81.18666667,"South","2008"
"17",17,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",379,379,375,375,2,2,0.31,"Scales (left side)",2,9,"17-4857-47670",155,28369,"1","Yes",113704,43.06527778,81.18666667,"South","2008"
"18",18,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",376,376,450,450,2,2,0.2,"Scales (left side)",2,9,"17-4857-47670",156,28364,"1","Yes",113673,43.06527778,81.18666667,"South","2008"
"19",19,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",487,487,1050,1050,2,2,0.28,"Scales (left side)",3,7,"17-4857-47670",157,28363,"1","Yes",113672,43.06527778,81.18666667,"South","2008"
"20",20,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",287,287,150,150,2,2,0.21,"Scales (left side)",1,8,"17-4857-47670",158,28365,"1","Yes",113654,43.06527778,81.18666667,"South","2008"
"21",21,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",232,232,100,100,1,1,0.1,"Scales (left side)",1,9,"17-4857-47670",159,28366,"1","Yes",113643,43.06527778,81.18666667,"South","2008"
"22",22,43048111,430355,811112,"Walleye","Walleye","2008-06-24",2008,"2008-06-23","2008-06-24",231,231,100,100,1,1,0.11,"Scales (left side)",1,9,"17-4857-47670",160,28361,"1","Yes",113268,43.06527778,81.18666667,"South","2008"
"23",23,44107850,441100,785126,"Walleye","Walleye","2008-07-28",2008,"2008-07-28","2008-07-29",389,389,425,425,1,1,0.12,"Dorsal Spine",4,7,"17-6715-48930",482,28971,"1X","Yes",126494,44.18333333,78.85722222,"South","2008"
"24",24,44107850,441100,785126,"Walleye","Walleye","2008-07-28",2008,"2008-07-27","2008-07-28",377,377,440,440,2,2,0.11,"Dorsal Spine",4,8,"17-6715-48930",485,28978,"1X","Yes",126585,44.18333333,78.85722222,"South","2008"
"25",25,44247824,442319,782334,"Walleye","Walleye","2009-06-23",2009,"2009-06-22","2009-06-23",340,340,275,275,1,1,0.3,"Dorsal Spine",5,6,"17-7076-49181",808,29043,"1","Yes",206037,44.38861111,78.39277778,"South","2009"
"26",26,44247824,442319,782334,"Walleye","Walleye","2009-06-23",2009,"2009-06-22","2009-06-23",444,444,850,850,2,2,0.3,"Otolith",5,8,"17-7076-49181",809,29045,"1","Yes",206128,44.38861111,78.39277778,"South","2009"
"27",27,44247824,442319,782334,"Walleye","Walleye","2009-06-23",2009,"2009-06-22","2009-06-23",323,323,325,325,1,1,0.11,"Dorsal Spine",3,8,"17-7076-49181",810,29044,"1","Yes",206129,44.38861111,78.39277778,"South","2009"
"28",28,44247824,442319,782334,"Walleye","Walleye","2009-06-24",2009,"2009-06-24","2009-06-25",373,373,425,425,2,2,0.19,"Dorsal Spine",4,8,"17-7076-49181",813,29049,"1","Yes",206860,44.38861111,78.39277778,"South","2009"
"29",29,44247824,442319,782334,"Walleye","Smallmouth Bass","2009-06-24",2009,"2009-06-24","2009-06-25",467,467,1400,1400,2,2,0.51,"Dorsal Spine",9,8,"17-7076-49181",816,29050,"1","Yes",206861,44.38861111,78.39277778,"South","2009"
"30",30,44247824,442319,782334,"Walleye","Walleye","2009-06-24",2009,"2009-06-23","2009-06-24",592,592,2000,2000,2,2,0.62,"Dorsal Spine",12,6,"17-7076-49181",811,29040,"1","Yes",205938,44.38861111,78.39277778,"South","2009"
"31",31,44247824,442319,782334,"Walleye","Walleye","2009-06-24",2009,"2009-06-23","2009-06-24",555,555,2100,2100,1,1,0.64,"Otolith",12,8,"17-7076-49181",812,29051,"1","Yes",206864,44.38861111,78.39277778,"South","2009"
"32",32,44247824,442319,782334,"Walleye","Walleye","2009-06-24",2009,"2009-06-23","2009-06-24",385,385,575,575,2,2,0.13,"Dorsal Spine",3,8,"17-7076-49181",814,29041,"1","Yes",205981,44.38861111,78.39277778,"South","2009"
"33",33,44247824,442319,782334,"Walleye","Walleye","2009-06-24",2009,"2009-06-23","2009-06-24",494,494,1075,1075,2,2,0.17,"Otolith",6,8,"17-7076-49181",815,29042,"1","Yes",205980,44.38861111,78.39277778,"South","2009"
"34",34,44247824,442319,782334,"Walleye","Walleye","2009-06-24",2009,"2009-06-23","2009-06-24",420,420,600,600,2,2,0.13,"Dorsal Spine",4,7,"17-7076-49181",817,29039,"1","Yes",205968,44.38861111,78.39277778,"South","2009"
"35",35,44247824,442319,782334,"Walleye","Walleye","2009-06-26",2009,"2009-06-25","2009-06-26",328,328,250,250,2,2,0.16,"Dorsal Spine",5,8,"17-7076-49181",819,29047,"1","Yes",206931,44.38861111,78.39277778,"South","2009"
"36",36,44257633,442551,763324,"Northern Pike","Northern Pike","2010-07-26",2010,"2010-07-26","2010-07-27",690,690,2300,2300,2,2,0.94,"Cleithrum",8,5,"18-3760-49200",820,30796,"1","Yes",311071,44.43083333,76.55666667,"South","2010"
"37",37,44257633,442551,763324,"Northern Pike","Northern Pike","2010-07-26",2010,"2010-07-26","2010-07-27",745,745,2200,2200,2,2,1.1,"Cleithrum",8,6,"18-3760-49200",821,30797,"1","Yes",311382,44.43083333,76.55666667,"South","2010"
"38",38,44257633,442551,763324,"Northern Pike","Northern Pike","2010-07-26",2010,"2010-07-26","2010-07-27",670,670,1900,1900,2,2,0.87,"Cleithrum",8,6,"18-3760-49200",825,30798,"1","Yes",311383,44.43083333,76.55666667,"South","2010"
"39",39,44257633,442551,763324,"Northern Pike","Northern Pike","2010-07-26",2010,"2010-07-26","2010-07-27",561,561,1050,1050,1,1,0.45,"Cleithrum",5,7,"18-3760-49200",827,30799,"1","Yes",311418,44.43083333,76.55666667,"South","2010"
"40",40,44257633,442551,763324,"Northern Pike","Northern Pike","2010-07-26",2010,"2010-07-26","2010-07-27",426,426,465,465,2,2,0.28,"Scales (left side)",3,5,"18-3760-49200",834,30800,"1","Yes",311419,44.43083333,76.55666667,"South","2010"
"41",41,44257742,442523,774206,"Smallmouth Bass","Smallmouth Bass","2008-08-20",2008,"2008-08-19","2008-08-20",301,301,390,390,2,2,0.27,"Scales (left side)",6,7,"18-2850-49215",842,28961,"1X","Yes",132694,44.42305556,77.70166667,"South","2008"
"42",42,44257940,442536,794015,"Walleye","Walleye","2008-07-03",2008,"2008-07-03","2008-07-04",567,567,1750,1750,1,1,1.1,"Scales (left side)",9,5,"17-6058-49199",920,28466,"1","Yes",114140,44.42666667,79.67083333,"South","2008"
"43",43,44257940,442536,794015,"Walleye","Walleye","2008-07-03",2008,"2008-07-03","2008-07-04",608,608,2200,2200,1,1,1.1,"Otolith",14,8,"17-6058-49199",921,28465,"1","Yes",114129,44.42666667,79.67083333,"South","2008"
"44",44,44267613,442603,761317,"Northern Pike","Northern Pike","2010-08-25",2010,"2010-08-25","2010-08-26",726,726,2000,2000,2,2,0.34,"Cleithrum",4,6,"18-4028-49206",935,30775,"1","Yes",329921,44.43416667,76.22138889,"South","2010"
"45",45,44267613,442603,761317,"Northern Pike","Northern Pike","2010-08-25",2010,"2010-08-25","2010-08-26",615,615,1490,1490,1,1,0.19,"Cleithrum",3,7,"18-4028-49206",936,30779,"1","Yes",329836,44.43416667,76.22138889,"South","2010"
"46",46,44267613,442603,761317,"Northern Pike","Northern Pike","2010-08-25",2010,"2010-08-25","2010-08-26",570,570,1250,1250,2,2,0.14,"Cleithrum",2,7,"18-4028-49206",937,30773,"1","Yes",329920,44.43416667,76.22138889,"South","2010"
"47",47,44267613,442603,761317,"Northern Pike","Northern Pike","2010-08-25",2010,"2010-08-25","2010-08-26",570,570,1050,1050,1,1,0.15,"Cleithrum",2,7,"18-4028-49206",938,30776,"1","Yes",329918,44.43416667,76.22138889,"South","2010"
"48",48,44267613,442603,761317,"Northern Pike","Northern Pike","2010-08-25",2010,"2010-08-25","2010-08-26",517,517,900,900,2,2,0.13,"Scales (left side)",2,8,"18-4028-49206",940,30774,"1","Yes",329919,44.43416667,76.22138889,"South","2010"
"49",49,44267613,442603,761317,"Northern Pike","Northern Pike","2010-08-25",2010,"2010-08-25","2010-08-26",478,478,810,810,2,2,0.1,"Scales (left side)",1,8,"18-4028-49206",942,30777,"1","Yes",329833,44.43416667,76.22138889,"South","2010"
"50",50,44277816,442727,781531,"Walleye","Walleye","2009-06-17",2009,"2009-06-16","2009-06-17",412,412,700,700,2,2,0.18,"Dorsal Spine",3,5,"17-7182-49263",946,29072,"1","Yes",205069,44.4575,78.25861111,"South","2009"
